Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
142,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,61,Jeannette Jara Román,6915de5b-d247-2619-ba38-5ec71d67ccf9,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
175,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Femenino,31,Jeannette Jara Román,6915de5f-1ce3-02a3-827f-44b49be0937b,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
135,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Otro,Libertario,,,Ninguno,Moderadamente importante,Masculino,45,Johannes Kaiser Barents-von Hohenhagen,6915de6a-764a-a709-9e20-5c3ea19c4a88,José Antonio Kast,Ni de acuerdo ni en desacuerdo,1,1
625,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Masculino,48,Evelyn Matthei Fornet,6915de81-624a-08a3-fcb5-c37cb52d9fc7,Jeannette Jara,Totalmente en desacuerdo,1,1
218,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,42,Jeannette Jara Román,6915de82-ca71-4c6b-7947-1eb8147b6fc1,José Antonio Kast,Totalmente en desacuerdo,1,1
148,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Masculino,28,José Antonio Kast Rist,6915de93-a2b6-d96d-7530-87a025e3dc4c,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo en desacuerdo",1,1
124,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,,,,Más cercano con la Izquierda,Muy importante,Masculino,49,Evelyn Matthei Fornet,6915dea1-9e9d-8958-6035-1b532314e75e,José Antonio Kast,Totalmente en desacuerdo,1,1
197,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Masculino,48,Evelyn Matthei Fornet,6915deaa-8fb9-52d3-7daa-8c43861263e8,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
372,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,33,Johannes Kaiser Barents-von Hohenhagen,6915debb-947e-1c89-e430-13b2c53b7542,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
565,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,70,Franco Parisi Fernández,6915dedf-a54d-8e96-9c72-42f8ae0085bd,José Antonio Kast,"Algo en desacuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
106,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,25,José Antonio Kast Rist,6915deef-4a48-d80b-080b-ebf89958589f,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,31,Franco Parisi Fernández,6915df08-4f39-b4d9-a0c1-e3eb04a0efcd,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Masculino,27,Jeannette Jara Román,6915df22-2dcc-8eb2-e7fa-29a1603a884a,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
78,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Muy importante,Femenino,31,Jeannette Jara Román,6915df8e-772d-0b46-8cb0-0dd5bbe8288e,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
153,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Masculino,32,Jeannette Jara Román,6915dfe6-d684-0241-6e2c-6d8b7876d8b2,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
104,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,53,Jeannette Jara Román,6915dfef-1a59-0a86-b9d7-cddb266eb61d,José Antonio Kast,Totalmente en desacuerdo,1,1
108,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,25,Evelyn Matthei Fornet,6915e01f-318d-d60b-9e44-96fd3951d982,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
107,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,49,José Antonio Kast Rist,6915e060-040a-dd90-ae3b-1b750680cb4d,Jeannette Jara,Totalmente en desacuerdo,1,1
178,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Poco importante,Masculino,27,Evelyn Matthei Fornet,6915e070-8201-e714-a09d-e0473bb5a3f6,José Antonio Kast,"Algo en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
185,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,51,Jeannette Jara Román,6915e08b-ab1e-67ed-1be0-e5b5f4757c2d,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
92,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,22,Jeannette Jara Román,6915e0ac-23cf-ce37-100e-0b02dc6a916e,Jeannette Jara,"Algo en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Masculino,54,José Antonio Kast Rist,6915e0c6-c4c5-f662-8f45-dbbda093fcd6,José Antonio Kast,Totalmente de acuerdo,1,1
277,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Masculino,53,José Antonio Kast Rist,6915e0c8-9755-6ca0-38d3-32544371da13,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
260,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Poco importante,Masculino,53,Johannes Kaiser Barents-von Hohenhagen,6915e0ca-35a0-2ddb-633d-d9f728547ff6,Jeannette Jara,"Totalmente en desacuerdo, Algo de acuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
170,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Masculino,45,Evelyn Matthei Fornet,6915e10d-b734-5bde-4539-dd1d2a11641d,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
120,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Extremadamente importante,Masculino,28,José Antonio Kast Rist,6915e114-5185-b262-ec5d-5ae7fab9b503,José Antonio Kast,Totalmente de acuerdo,1,1
130,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,81,Jeannette Jara Román,6915e125-e2b7-863f-4e7d-03abbaf9234c,José Antonio Kast,Totalmente en desacuerdo,1,1
114,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Muy importante,Masculino,45,Harlod Mayne-Nicholls Sécul,6915e13c-ae0b-8777-9cca-94aa80bd0843,Jeannette Jara,"Algo en desacuerdo, Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
116,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,32,Eduardo Antonio Artés Brichetti,6915e180-7753-ddc4-0e49-ed774d56650a,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
233,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,27,José Antonio Kast Rist,6915e1de-b8c5-c37f-451d-2991c897ddef,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
202,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Nada importante,Masculino,30,Franco Parisi Fernández,6915e1eb-89b2-4aa4-1e6b-f3e8bc65464c,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
2154,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Masculino,31,Jeannette Jara Román,6915e205-3a9f-6861-b736-9fccc2a736ce,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
79,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,59,Johannes Kaiser Barents-von Hohenhagen,6915e20e-2a21-6180-d069-13aed4ffbf9f,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
65,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Masculino,32,Eduardo Antonio Artés Brichetti,6915e2df-0487-0f73-9b8a-2473dcbac60a,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
456,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Masculino,61,Jeannette Jara Román,6915e369-8678-7f9b-e17f-10758ba40d6c,Jeannette Jara,"Algo de acuerdo, Totalmente de acuerdo",1,1
421,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Algo en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Extremadamente importante,Masculino,30,Evelyn Matthei Fornet,6915e3ab-9c65-5246-c65c-8fc9e795f409,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente de acuerdo",1,1
418,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Masculino,73,Jeannette Jara Román,6915e3c9-45f0-b4df-14e6-f859e270fb58,Jeannette Jara,Totalmente de acuerdo,1,1
222,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,64,José Antonio Kast Rist,6915e445-e9c1-8004-9cd9-047db305b18e,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
235,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,55,José Antonio Kast Rist,6915f165-dae1-da36-433a-8a1776a2c40a,José Antonio Kast,"Totalmente de acuerdo, Algo de acuerdo",1,1
184,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,60,José Antonio Kast Rist,6915f1eb-604e-d883-cc1f-75ec94a0200b,José Antonio Kast,Totalmente de acuerdo,1,1
277,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Femenino,37,Jeannette Jara Román,6915f2e3-55dd-cf02-df46-8fa56a2f7ce9,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
84,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,41,José Antonio Kast Rist,6915f34b-c2c0-b3f4-0615-1fefbeb21714,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo",1,1
297,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,35,Johannes Kaiser Barents-von Hohenhagen,6915f350-580e-d5f2-d695-aebff064d617,Jeannette Jara,Totalmente en desacuerdo,1,1
170,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,41,Jeannette Jara Román,6915f34f-3c72-233a-f70d-ba5baee938a1,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
127,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,43,Franco Parisi Fernández,6915f35c-d0e1-ecde-29a3-65e0acabfb33,José Antonio Kast,Ni de acuerdo ni en desacuerdo,1,1
85,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Femenino,36,Jeannette Jara Román,6915f365-a27f-3ac7-c1b5-dafd316360be,Jeannette Jara,Totalmente de acuerdo,1,1
67,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,37,Evelyn Matthei Fornet,6915f366-9fcf-288a-bb8e-b824a10552a8,Jeannette Jara,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
